,Recorder,Date,Time,Path
0,G03,2018/05/11,12:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_120000.wav
1,G03,2018/05/11,12:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_121600.wav
2,G03,2018/05/11,12:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_123200.wav
3,G03,2018/05/11,12:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_124800.wav
4,G03,2018/05/11,13:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_130400.wav
5,G03,2018/05/11,13:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_132000.wav
6,G03,2018/05/11,13:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_133600.wav
7,G03,2018/05/11,13:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_135200.wav
8,G03,2018/05/11,14:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_140800.wav
9,G03,2018/05/11,14:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_142400.wav
10,G03,2018/05/11,14:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_144000.wav
11,G03,2018/05/11,14:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_145600.wav
12,G03,2018/05/11,15:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_151200.wav
13,G03,2018/05/11,15:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_152800.wav
14,G03,2018/05/11,15:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_154400.wav
15,G03,2018/05/11,16:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_160000.wav
16,G03,2018/05/11,16:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_161600.wav
17,G03,2018/05/11,16:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_163200.wav
18,G03,2018/05/11,16:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_164800.wav
19,G03,2018/05/11,20:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_200000.wav
20,G03,2018/05/11,20:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_201600.wav
21,G03,2018/05/11,20:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_203200.wav
22,G03,2018/05/11,20:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_204800.wav
23,G03,2018/05/11,21:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_210400.wav
24,G03,2018/05/11,21:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_212000.wav
25,G03,2018/05/11,21:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_213600.wav
26,G03,2018/05/11,21:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_215200.wav
27,G03,2018/05/11,22:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_220800.wav
28,G03,2018/05/11,22:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_222400.wav
29,G03,2018/05/11,22:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_224000.wav
30,G03,2018/05/11,22:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_225600.wav
31,G03,2018/05/11,23:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_231200.wav
32,G03,2018/05/11,23:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_232800.wav
33,G03,2018/05/11,23:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180511_234400.wav
34,G03,2018/05/12,0:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_000000.wav
35,G03,2018/05/12,0:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_001600.wav
36,G03,2018/05/12,0:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_003200.wav
37,G03,2018/05/12,0:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_004800.wav
